iter	Passed	Remaining
0	57	57254
1	57	28719
2	57	19202
3	58	14443
4	58	11585
5	58	9682
6	58	8326
7	58	7308
8	59	6513
9	59	5877
10	59	5360
11	59	4931
12	60	4565
13	60	4257
14	60	3985
15	60	3746
16	61	3534
17	61	3347
18	61	3178
19	61	3026
20	61	2890
21	62	2766
22	62	2651
23	62	2547
24	62	2451
25	63	2362
26	63	2280
27	63	2203
28	63	2132
29	63	2067
30	64	2004
31	64	1946
32	64	1891
33	64	1839
34	64	1791
35	65	1745
36	65	1701
37	65	1660
38	65	1621
39	66	1584
40	66	1548
41	66	1516
42	66	1484
43	66	1454
44	67	1425
45	67	1397
46	67	1370
47	67	1344
48	68	1320
49	68	1297
50	68	1274
51	68	1252
52	68	1231
53	69	1211
54	69	1191
55	69	1173
56	69	1155
57	70	1137
58	70	1120
59	70	1103
60	70	1087
61	70	1071
62	71	1056
63	71	1041
64	71	1027
65	71	1013
66	71	1000
67	71	985
68	72	973
69	72	960
70	72	948
71	72	937
72	72	925
73	73	915
74	73	904
75	73	893
76	73	883
77	73	873
78	74	864
79	74	855
80	74	846
81	74	837
82	74	828
83	75	819
84	75	810
85	75	802
86	75	793
87	75	785
88	75	777
89	76	770
90	76	762
91	76	755
92	76	748
93	76	741
94	77	734
95	77	728
96	77	721
97	77	715
98	77	708
99	78	702
100	78	696
101	78	689
102	78	684
103	78	678
104	78	672
105	79	667
106	79	661
107	79	656
108	79	651
109	79	646
110	80	641
111	80	636
112	80	631
113	80	626
114	80	622
115	80	617
116	81	612
117	81	608
118	81	603
119	81	599
120	81	594
121	82	590
122	82	585
123	82	581
124	82	577
125	82	573
126	82	570
127	83	565
128	83	561
129	83	558
130	83	554
131	83	551
132	84	548
133	84	544
134	84	541
135	84	538
136	84	534
137	85	531
138	85	527
139	85	524
140	85	521
141	85	518
142	85	515
143	86	512
144	86	509
145	86	506
146	86	503
147	86	500
148	87	497
149	87	494
150	87	492
151	87	489
152	87	486
153	88	484
154	88	481
155	88	479
156	88	476
157	88	473
158	89	471
159	89	468
160	89	466
161	89	463
162	89	461
163	90	459
164	90	456
165	90	454
166	90	452
167	90	449
168	91	447
169	91	445
170	91	443
171	91	441
172	91	439
173	92	436
174	92	434
175	92	432
176	92	430
177	92	428
178	93	426
179	93	424
180	93	422
181	93	420
182	93	418
183	93	416
184	94	414
185	94	412
186	94	410
187	94	408
188	94	406
189	94	404
190	95	403
191	95	401
192	95	399
193	95	398
194	96	396
195	96	394
196	96	393
197	96	391
198	96	389
199	96	387
200	97	386
201	97	384
202	97	383
203	97	381
204	98	380
205	98	378
206	98	376
207	98	375
208	98	373
209	98	372
210	99	370
211	99	369
212	99	368
213	99	366
214	100	365
215	100	363
216	100	362
217	100	361
218	100	359
219	101	358
220	101	356
221	101	355
222	101	354
223	101	352
224	102	351
225	102	350
226	102	348
227	102	347
228	102	346
229	103	344
230	103	343
231	103	342
232	103	341
233	103	339
234	103	338
235	104	337
236	104	335
237	104	334
238	104	333
239	104	332
240	105	331
241	105	329
242	105	328
243	105	327
244	105	326
245	106	325
246	106	324
247	106	323
248	106	321
249	106	320
250	107	319
251	107	318
252	107	317
253	107	316
254	107	315
255	108	314
256	108	313
257	108	312
258	108	311
259	108	309
260	109	308
261	109	307
262	109	306
263	109	305
264	109	304
265	110	303
266	110	302
267	110	301
268	110	300
269	110	299
270	111	298
271	111	297
272	111	296
273	111	295
274	111	294
275	111	293
276	112	292
277	112	291
278	112	290
279	112	290
280	112	289
281	113	288
282	113	287
283	113	286
284	113	285
285	113	284
286	114	283
287	114	282
288	114	282
289	114	281
290	115	280
291	115	279
292	115	278
293	115	278
294	116	277
295	116	276
296	116	275
297	116	274
298	116	273
299	117	273
300	117	272
301	117	271
302	117	270
303	117	269
304	117	268
305	118	267
306	118	267
307	118	266
308	118	265
309	118	264
310	119	263
311	119	263
312	119	262
313	119	261
314	119	260
315	120	259
316	120	259
317	120	258
318	120	257
319	120	256
320	121	256
321	121	255
322	121	254
323	121	253
324	121	253
325	122	252
326	122	251
327	122	251
328	122	250
329	122	249
330	123	249
331	124	249
332	124	249
333	124	248
334	124	247
335	125	247
336	125	246
337	125	245
338	125	244
339	125	244
340	125	243
341	126	242
342	126	242
343	126	241
344	126	240
345	126	240
346	127	239
347	127	238
348	127	237
349	127	237
350	127	236
351	128	235
352	128	235
353	128	234
354	128	233
355	128	233
356	129	232
357	129	231
358	129	231
359	129	230
360	129	229
361	130	229
362	130	228
363	130	227
364	130	227
365	130	226
366	131	226
367	131	225
368	131	224
369	131	224
370	131	223
371	132	223
372	132	222
373	132	221
374	132	221
375	132	220
376	133	219
377	133	219
378	133	218
379	133	218
380	133	217
381	134	216
382	134	216
383	134	215
384	134	215
385	134	214
386	135	213
387	135	213
388	135	212
389	135	212
390	135	211
391	136	210
392	136	210
393	136	209
394	136	209
395	136	208
396	136	208
397	137	207
398	137	207
399	137	206
400	137	205
401	138	205
402	138	204
403	138	204
404	138	204
405	139	203
406	139	203
407	139	202
408	139	202
409	140	201
410	140	200
411	140	200
412	140	199
413	140	199
414	141	198
415	141	198
416	141	197
417	141	197
418	141	196
419	141	196
420	142	195
421	142	194
422	142	194
423	142	193
424	143	194
425	143	193
426	143	193
427	144	192
428	144	192
429	144	191
430	144	191
431	144	190
432	145	189
433	145	189
434	145	189
435	145	188
436	145	187
437	146	187
438	146	187
439	146	186
440	146	186
441	147	185
442	147	185
443	147	184
444	147	184
445	147	183
446	148	183
447	148	182
448	148	182
449	148	181
450	148	181
451	149	180
452	149	180
453	149	179
454	149	179
455	149	178
456	150	178
457	150	177
458	150	177
459	150	176
460	150	176
461	151	175
462	151	175
463	151	174
464	151	174
465	151	174
466	152	173
467	152	173
468	152	172
469	152	172
470	152	171
471	152	171
472	153	170
473	153	170
474	153	169
475	153	169
476	154	169
477	154	168
478	154	168
479	154	167
480	155	167
481	155	167
482	155	166
483	155	166
484	156	165
485	156	165
486	156	164
487	156	164
488	156	163
489	157	163
490	157	163
491	157	162
492	157	162
493	157	161
494	158	161
495	158	160
496	158	160
497	158	159
498	158	159
499	159	159
500	159	158
501	159	158
502	159	157
503	159	157
504	160	156
505	160	156
506	160	155
507	160	155
508	160	155
509	161	154
510	161	154
511	161	153
512	161	153
513	161	153
514	162	152
515	162	152
516	162	151
517	162	151
518	162	150
519	163	150
520	163	150
521	163	149
522	163	149
523	163	148
524	164	148
525	164	148
526	164	147
527	164	147
528	164	146
529	165	146
530	165	145
531	165	145
532	165	145
533	165	144
534	166	144
535	166	143
536	166	143
537	166	143
538	166	142
539	166	142
540	167	141
541	167	141
542	167	140
543	167	140
544	167	140
545	168	139
546	168	139
547	168	139
548	168	138
549	168	138
550	169	137
551	169	137
552	169	137
553	169	136
554	170	136
555	170	135
556	170	135
557	170	135
558	170	134
559	171	134
560	171	134
561	171	133
562	171	133
563	172	132
564	172	132
565	172	132
566	172	131
567	172	131
568	172	131
569	173	130
570	173	130
571	173	129
572	173	129
573	173	129
574	174	128
575	174	128
576	174	127
577	174	127
578	174	127
579	175	126
580	175	126
581	175	126
582	175	125
583	176	125
584	176	125
585	176	124
586	176	124
587	177	124
588	177	123
589	177	123
590	177	122
591	177	122
592	178	122
593	178	121
594	178	121
595	178	121
596	178	120
597	179	120
598	179	119
599	179	119
600	179	119
601	179	118
602	179	118
603	180	118
604	180	117
605	180	117
606	180	117
607	181	116
608	181	116
609	181	115
610	181	115
611	181	115
612	182	114
613	182	114
614	182	114
615	182	113
616	182	113
617	183	113
618	183	112
619	183	112
620	183	112
621	184	111
622	184	111
623	184	111
624	184	110
625	184	110
626	185	110
627	185	109
628	185	109
629	185	109
630	186	108
631	186	108
632	186	108
633	186	107
634	186	107
635	187	107
636	187	106
637	187	106
638	187	105
639	187	105
640	188	105
641	188	104
642	188	104
643	188	104
644	188	103
645	188	103
646	189	103
647	189	102
648	189	102
649	189	102
650	189	101
651	190	101
652	190	101
653	190	100
654	190	100
655	190	100
656	191	99
657	191	99
658	191	99
659	191	98
660	191	98
661	192	98
662	192	97
663	192	97
664	192	97
665	192	96
666	193	96
667	193	96
668	193	95
669	193	95
670	194	95
671	194	94
672	194	94
673	194	94
674	194	93
675	195	93
676	195	93
677	195	92
678	195	92
679	195	92
680	196	91
681	196	91
682	196	91
683	196	90
684	196	90
685	197	90
686	197	89
687	197	89
688	197	89
689	197	88
690	198	88
691	198	88
692	198	87
693	198	87
694	198	87
695	199	86
696	199	86
697	199	86
698	199	85
699	199	85
700	200	85
701	200	84
702	200	84
703	200	84
704	200	84
705	200	83
706	201	83
707	201	83
708	201	82
709	201	82
710	202	82
711	202	81
712	202	81
713	202	81
714	202	80
715	203	80
716	203	80
717	203	79
718	203	79
719	203	79
720	204	78
721	204	78
722	204	78
723	204	78
724	204	77
725	204	77
726	205	77
727	205	76
728	205	76
729	205	76
730	206	75
731	206	75
732	206	75
733	206	74
734	206	74
735	207	74
736	207	73
737	207	73
738	207	73
739	207	73
740	208	72
741	208	72
742	208	72
743	208	71
744	208	71
745	209	71
746	209	70
747	209	70
748	209	70
749	209	69
750	210	69
751	210	69
752	210	69
753	210	68
754	210	68
755	211	68
756	211	67
757	211	67
758	211	67
