iter	Passed	Remaining
0	56	56684
1	56	28428
2	57	19040
3	57	14325
4	57	11488
5	57	9602
6	58	8253
7	58	7247
8	58	6461
9	58	5833
10	59	5317
11	59	4885
12	59	4519
13	59	4206
14	59	3936
15	60	3699
16	60	3490
17	60	3304
18	60	3137
19	60	2987
20	61	2851
21	61	2727
22	61	2618
23	61	2514
24	62	2419
25	62	2331
26	62	2250
27	62	2174
28	62	2103
29	63	2038
30	63	1977
31	63	1919
32	63	1865
33	63	1814
34	64	1766
35	64	1720
36	64	1677
37	64	1636
38	64	1598
39	65	1561
40	65	1526
41	65	1494
42	65	1463
43	65	1432
44	66	1403
45	66	1375
46	66	1348
47	66	1323
48	66	1298
49	67	1275
50	67	1252
51	67	1231
52	67	1210
53	67	1190
54	68	1170
55	68	1151
56	68	1133
57	68	1116
58	68	1099
59	69	1082
60	69	1067
61	69	1051
62	69	1036
63	69	1022
64	70	1008
65	70	995
66	70	981
67	70	968
68	70	956
69	71	944
70	71	932
71	71	921
72	71	910
73	71	899
74	72	888
75	72	878
76	72	868
77	72	859
78	72	850
79	73	840
80	73	831
81	73	822
82	73	812
83	73	805
84	74	797
85	74	789
86	74	781
87	74	773
88	74	765
89	75	758
90	75	751
91	75	744
92	75	737
93	75	730
94	76	724
95	76	717
96	76	711
97	76	705
98	76	698
99	77	693
100	77	687
101	77	681
102	77	675
103	77	670
104	78	664
105	78	659
106	78	654
107	78	649
108	78	644
109	78	639
110	79	634
111	79	629
112	79	624
113	79	620
114	79	615
115	80	610
116	80	605
117	80	601
118	80	597
119	80	592
120	81	589
121	81	585
122	81	581
123	81	577
124	81	573
125	82	569
126	82	565
127	82	561
128	82	558
129	82	554
130	83	551
131	83	547
132	83	544
133	83	540
134	83	537
135	84	534
136	84	530
137	84	527
138	84	524
139	84	521
140	85	518
141	85	514
142	85	511
143	85	508
144	85	505
145	85	502
146	86	503
147	87	500
148	87	498
149	87	495
150	87	492
151	87	489
152	88	487
153	88	484
154	88	481
155	88	479
156	88	476
157	89	474
158	89	472
159	89	470
160	89	467
161	89	465
162	90	463
163	90	460
164	90	458
165	90	456
166	90	453
167	91	451
168	91	449
169	91	447
170	91	445
171	92	443
172	92	440
173	92	438
174	92	436
175	92	434
176	93	432
177	93	430
178	93	428
179	93	426
180	93	424
181	93	422
182	94	420
183	94	418
184	94	416
185	94	414
186	94	412
187	95	411
188	95	409
189	95	407
190	95	405
191	95	403
192	96	402
193	96	400
194	96	398
195	96	397
196	97	395
197	97	394
198	97	392
199	97	390
200	97	389
201	98	387
202	98	385
203	98	384
204	98	383
205	98	381
206	99	379
207	99	378
208	99	376
209	99	375
210	99	373
211	100	372
212	100	370
213	100	369
214	100	367
215	100	366
216	101	364
217	101	363
218	101	361
219	101	360
220	101	359
221	102	357
222	102	356
223	102	354
224	102	353
225	102	352
226	103	350
227	103	349
228	103	348
229	103	347
230	103	345
231	104	344
232	104	343
233	104	341
234	104	340
235	104	339
236	105	338
237	105	336
238	105	335
239	105	334
240	105	333
241	105	331
242	106	330
243	106	329
244	106	328
245	106	327
246	106	326
247	107	325
248	107	323
249	107	322
250	107	321
